ids	labels	text_input_data
0	Positive	love read magazines
1	Positive	read book make very happy
2	Negative	unfortunately wasted time
3	Positive	worth reading book
4	Negative	bad film seen
5	Negative	worst movie ever
6	Positive	beautiful movie cry
7	Negative	horrible film
8	Positive	lot fun watch movie
9	Positive	friends film watch happy
10	Negative	movie predictable plot
11	Negative	sleep movie horrible
12	Negative	weird movie
13	Positive	easy relax good book
14	Positive	worth time entertain movie
15	Negative	again bore strange movie
16	Negative	book better movie wrong
17	Positive	good movie year
18	Negative	fall asleep movie
19	Positive	funny happy time book
20	Negative	love book hate movie
21	Negative	dissatisfactory confusing plot
22	Positive	great funny plot
23	Positive	humour love movie
24	Positive	lengthy end nice interesting
25	Negative	extravagant stupid book
26	Negative	character unrealistic
27	Positive	pleasant story fun ending
28	Negative	colorless plot bad movie
29	Positive	impressive acting movie
